"sac_train/steps","gentle-surf-19 - _step","gentle-surf-19 - _step__MIN","gentle-surf-19 - _step__MAX","gentle-surf-19 - sac_train/episode_return","gentle-surf-19 - sac_train/episode_return__MIN","gentle-surf-19 - sac_train/episode_return__MAX","vivid-river-17 - _step","vivid-river-17 - _step__MIN","vivid-river-17 - _step__MAX","vivid-river-17 - sac_train/episode_return","vivid-river-17 - sac_train/episode_return__MIN","vivid-river-17 - sac_train/episode_return__MAX","likely-lion-15 - _step","likely-lion-15 - _step__MIN","likely-lion-15 - _step__MAX","likely-lion-15 - sac_train/episode_return","likely-lion-15 - sac_train/episode_return__MIN","likely-lion-15 - sac_train/episode_return__MAX","gentle-rain-13 - _step","gentle-rain-13 - _step__MIN","gentle-rain-13 - _step__MAX","gentle-rain-13 - sac_train/episode_return","gentle-rain-13 - sac_train/episode_return__MIN","gentle-rain-13 - sac_train/episode_return__MAX","clean-bee-10 - _step","clean-bee-10 - _step__MIN","clean-bee-10 - _step__MAX","clean-bee-10 - sac_train/episode_return","clean-bee-10 - sac_train/episode_return__MIN","clean-bee-10 - sac_train/episode_return__MAX"
"51800","5437","5437","5437","-229.3918806426512","-229.3918806426512","-229.3918806426512","5437","5437","5437","-124.9307229993645","-124.9307229993645","-124.9307229993645","5437","5437","5437","-116.76754616213461","-116.76754616213461","-116.76754616213461","5437","5437","5437","-246.0578104583111","-246.0578104583111","-246.0578104583111","5437","5437","5437","-229.2776847890632","-229.2776847890632","-229.2776847890632"
"52000","5458","5458","5458","-123.48718152690729","-123.48718152690729","-123.48718152690729","5458","5458","5458","-4.298507701558357","-4.298507701558357","-4.298507701558357","5458","5458","5458","-274.4540725368461","-274.4540725368461","-274.4540725368461","5458","5458","5458","-125.0700040733131","-125.0700040733131","-125.0700040733131","5458","5458","5458","-129.6833218092512","-129.6833218092512","-129.6833218092512"
"52200","5479","5479","5479","-312.11863213229344","-312.11863213229344","-312.11863213229344","5479","5479","5479","-117.23168080134563","-117.23168080134563","-117.23168080134563","5479","5479","5479","-120.62100476001493","-120.62100476001493","-120.62100476001493","5479","5479","5479","-124.59686385043855","-124.59686385043855","-124.59686385043855","5479","5479","5479","-118.42810546468449","-118.42810546468449","-118.42810546468449"
"52400","5500","5500","5500","-301.769352940118","-301.769352940118","-301.769352940118","5500","5500","5500","-4.359869624155121","-4.359869624155121","-4.359869624155121","5500","5500","5500","-118.4773659058091","-118.4773659058091","-118.4773659058091","5500","5500","5500","-120.39013751029833","-120.39013751029833","-120.39013751029833","5500","5500","5500","-121.33187781120449","-121.33187781120449","-121.33187781120449"
"52600","5521","5521","5521","-241.24704056821582","-241.24704056821582","-241.24704056821582","5521","5521","5521","-246.22792758493378","-246.22792758493378","-246.22792758493378","5521","5521","5521","-226.29867832810766","-226.29867832810766","-226.29867832810766","5521","5521","5521","-229.6042218793233","-229.6042218793233","-229.6042218793233","5521","5521","5521","-123.95379330390304","-123.95379330390304","-123.95379330390304"
"52800","5542","5542","5542","-123.36969262876443","-123.36969262876443","-123.36969262876443","5542","5542","5542","-114.15915922936539","-114.15915922936539","-114.15915922936539","5542","5542","5542","-123.46569349408321","-123.46569349408321","-123.46569349408321","5542","5542","5542","-125.86059949222386","-125.86059949222386","-125.86059949222386","5542","5542","5542","-117.85830078852248","-117.85830078852248","-117.85830078852248"
"53000","5563","5563","5563","-331.03917852098505","-331.03917852098505","-331.03917852098505","5563","5563","5563","-123.98094565524099","-123.98094565524099","-123.98094565524099","5563","5563","5563","-120.63354953911556","-120.63354953911556","-120.63354953911556","5563","5563","5563","-2.455186462886709","-2.455186462886709","-2.455186462886709","5563","5563","5563","-368.6235450491596","-368.6235450491596","-368.6235450491596"
"53200","5584","5584","5584","-4.746082399871658","-4.746082399871658","-4.746082399871658","5584","5584","5584","-123.68783520794015","-123.68783520794015","-123.68783520794015","5584","5584","5584","-126.68313932475354","-126.68313932475354","-126.68313932475354","5584","5584","5584","-342.9948229260168","-342.9948229260168","-342.9948229260168","5584","5584","5584","-122.47241715933173","-122.47241715933173","-122.47241715933173"
"53400","5605","5605","5605","-120.17529253581364","-120.17529253581364","-120.17529253581364","5605","5605","5605","-3.9402313195754988","-3.9402313195754988","-3.9402313195754988","5605","5605","5605","-236.84967648675885","-236.84967648675885","-236.84967648675885","5605","5605","5605","-129.98456713614766","-129.98456713614766","-129.98456713614766","5605","5605","5605","-125.22113664918271","-125.22113664918271","-125.22113664918271"
"53600","5626","5626","5626","-231.10023202662765","-231.10023202662765","-231.10023202662765","5626","5626","5626","-130.80761075915353","-130.80761075915353","-130.80761075915353","5626","5626","5626","-123.49258861411593","-123.49258861411593","-123.49258861411593","5626","5626","5626","-2.4318029201740705","-2.4318029201740705","-2.4318029201740705","5626","5626","5626","-227.49433392537517","-227.49433392537517","-227.49433392537517"
"53800","5647","5647","5647","-126.66120896412443","-126.66120896412443","-126.66120896412443","5647","5647","5647","-3.4526856600642666","-3.4526856600642666","-3.4526856600642666","5647","5647","5647","-118.55204485340508","-118.55204485340508","-118.55204485340508","5647","5647","5647","-3.3255541215651188","-3.3255541215651188","-3.3255541215651188","5647","5647","5647","-124.83740717992924","-124.83740717992924","-124.83740717992924"
"54000","5668","5668","5668","-227.30422017930087","-227.30422017930087","-227.30422017930087","5668","5668","5668","-241.576299254237","-241.576299254237","-241.576299254237","5668","5668","5668","-5.986007420547402","-5.986007420547402","-5.986007420547402","5668","5668","5668","-119.78455385557875","-119.78455385557875","-119.78455385557875","5668","5668","5668","-119.93660116942138","-119.93660116942138","-119.93660116942138"
"54200","5689","5689","5689","-5.741367183681996","-5.741367183681996","-5.741367183681996","5689","5689","5689","-4.981510374099688","-4.981510374099688","-4.981510374099688","5689","5689","5689","-120.60466463044959","-120.60466463044959","-120.60466463044959","5689","5689","5689","-244.9148756812269","-244.9148756812269","-244.9148756812269","5689","5689","5689","-123.11324677320866","-123.11324677320866","-123.11324677320866"
"54400","5710","5710","5710","-245.31683259214694","-245.31683259214694","-245.31683259214694","5710","5710","5710","-230.05232895270166","-230.05232895270166","-230.05232895270166","5710","5710","5710","-227.37573086154745","-227.37573086154745","-227.37573086154745","5710","5710","5710","-357.5941829272146","-357.5941829272146","-357.5941829272146","5710","5710","5710","-131.97001183904402","-131.97001183904402","-131.97001183904402"
"54600","5731","5731","5731","-119.09746809296541","-119.09746809296541","-119.09746809296541","5731","5731","5731","-118.16726627467686","-118.16726627467686","-118.16726627467686","5731","5731","5731","-242.62176809017694","-242.62176809017694","-242.62176809017694","5731","5731","5731","-121.814557326681","-121.814557326681","-121.814557326681","5731","5731","5731","-121.43531781663374","-121.43531781663374","-121.43531781663374"
"54800","5752","5752","5752","-120.98250537787132","-120.98250537787132","-120.98250537787132","5752","5752","5752","-127.6273097830934","-127.6273097830934","-127.6273097830934","5752","5752","5752","-5.902243443280566","-5.902243443280566","-5.902243443280566","5752","5752","5752","-238.73756059953624","-238.73756059953624","-238.73756059953624","5752","5752","5752","-119.06226688906642","-119.06226688906642","-119.06226688906642"
"55000","5773","5773","5773","-305.242849309889","-305.242849309889","-305.242849309889","5773","5773","5773","-127.81908678081155","-127.81908678081155","-127.81908678081155","5773","5773","5773","-1.5357928404297598","-1.5357928404297598","-1.5357928404297598","5773","5773","5773","-115.80748516675278","-115.80748516675278","-115.80748516675278","5773","5773","5773","-227.7856558585715","-227.7856558585715","-227.7856558585715"
"55200","5794","5794","5794","-329.6874645742852","-329.6874645742852","-329.6874645742852","5794","5794","5794","-246.62047537396435","-246.62047537396435","-246.62047537396435","5794","5794","5794","-120.41687048022311","-120.41687048022311","-120.41687048022311","5794","5794","5794","-121.77652461577908","-121.77652461577908","-121.77652461577908","5794","5794","5794","-119.14830063311865","-119.14830063311865","-119.14830063311865"
"55400","5815","5815","5815","-237.4901620721032","-237.4901620721032","-237.4901620721032","5815","5815","5815","-127.01333954258055","-127.01333954258055","-127.01333954258055","5815","5815","5815","-127.69811818885712","-127.69811818885712","-127.69811818885712","5815","5815","5815","-118.7386247462372","-118.7386247462372","-118.7386247462372","5815","5815","5815","-222.33442395415648","-222.33442395415648","-222.33442395415648"
"55600","5836","5836","5836","-240.3981649749266","-240.3981649749266","-240.3981649749266","5836","5836","5836","-130.93368914739239","-130.93368914739239","-130.93368914739239","5836","5836","5836","-127.29201268740897","-127.29201268740897","-127.29201268740897","5836","5836","5836","-126.49954027735447","-126.49954027735447","-126.49954027735447","5836","5836","5836","-116.66844919105279","-116.66844919105279","-116.66844919105279"
"55800","5857","5857","5857","-1.6638106443884193","-1.6638106443884193","-1.6638106443884193","5857","5857","5857","-230.60174112001465","-230.60174112001465","-230.60174112001465","5857","5857","5857","-124.01220900245372","-124.01220900245372","-124.01220900245372","5857","5857","5857","-327.9246056631149","-327.9246056631149","-327.9246056631149","5857","5857","5857","-3.025453787841704","-3.025453787841704","-3.025453787841704"
"56000","5878","5878","5878","-4.2872259674084265","-4.2872259674084265","-4.2872259674084265","5878","5878","5878","-5.053621093644362","-5.053621093644362","-5.053621093644362","5878","5878","5878","-124.34887903737462","-124.34887903737462","-124.34887903737462","5878","5878","5878","-118.8816808609333","-118.8816808609333","-118.8816808609333","5878","5878","5878","-126.70359129316581","-126.70359129316581","-126.70359129316581"
"56200","5899","5899","5899","-242.54026816172671","-242.54026816172671","-242.54026816172671","5899","5899","5899","-129.87424345431046","-129.87424345431046","-129.87424345431046","5899","5899","5899","-114.24771477470763","-114.24771477470763","-114.24771477470763","5899","5899","5899","-244.46141191300975","-244.46141191300975","-244.46141191300975","5899","5899","5899","-2.7021179620199485","-2.7021179620199485","-2.7021179620199485"
"56400","5920","5920","5920","-126.5828930695558","-126.5828930695558","-126.5828930695558","5920","5920","5920","-129.89480530139443","-129.89480530139443","-129.89480530139443","5920","5920","5920","-123.81120798723926","-123.81120798723926","-123.81120798723926","5920","5920","5920","-358.3754729480644","-358.3754729480644","-358.3754729480644","5920","5920","5920","-125.31028214255761","-125.31028214255761","-125.31028214255761"
"56600","5941","5941","5941","-124.57808759944947","-124.57808759944947","-124.57808759944947","5941","5941","5941","-119.73176019760317","-119.73176019760317","-119.73176019760317","5941","5941","5941","-237.21669255725027","-237.21669255725027","-237.21669255725027","5941","5941","5941","-120.01028474940097","-120.01028474940097","-120.01028474940097","5941","5941","5941","-231.93376269973464","-231.93376269973464","-231.93376269973464"
"56800","5962","5962","5962","-237.63058090777326","-237.63058090777326","-237.63058090777326","5962","5962","5962","-125.49087756259914","-125.49087756259914","-125.49087756259914","5962","5962","5962","-9.351445982472631","-9.351445982472631","-9.351445982472631","5962","5962","5962","-225.9844064466048","-225.9844064466048","-225.9844064466048","5962","5962","5962","-120.98234061732295","-120.98234061732295","-120.98234061732295"
"57000","5983","5983","5983","-126.62423960833877","-126.62423960833877","-126.62423960833877","5983","5983","5983","-6.190966486743084","-6.190966486743084","-6.190966486743084","5983","5983","5983","-124.48158557731577","-124.48158557731577","-124.48158557731577","5983","5983","5983","-121.67708282990101","-121.67708282990101","-121.67708282990101","5983","5983","5983","-230.85560850177356","-230.85560850177356","-230.85560850177356"
"57200","6004","6004","6004","-126.58718870864773","-126.58718870864773","-126.58718870864773","6004","6004","6004","-121.1064096753967","-121.1064096753967","-121.1064096753967","6004","6004","6004","-126.46692501394244","-126.46692501394244","-126.46692501394244","6004","6004","6004","-3.420462629893757","-3.420462629893757","-3.420462629893757","6004","6004","6004","-129.62244728810523","-129.62244728810523","-129.62244728810523"
"57400","6025","6025","6025","-125.58085511850986","-125.58085511850986","-125.58085511850986","6025","6025","6025","-121.80123277572716","-121.80123277572716","-121.80123277572716","6025","6025","6025","-126.19719878740322","-126.19719878740322","-126.19719878740322","6025","6025","6025","-124.55467970623877","-124.55467970623877","-124.55467970623877","6025","6025","6025","-120.83216265501397","-120.83216265501397","-120.83216265501397"
"57600","6046","6046","6046","-227.02793621365387","-227.02793621365387","-227.02793621365387","6046","6046","6046","-123.91708192240313","-123.91708192240313","-123.91708192240313","6046","6046","6046","-115.49462612870006","-115.49462612870006","-115.49462612870006","6046","6046","6046","-234.4359065873346","-234.4359065873346","-234.4359065873346","6046","6046","6046","-2.2135441854897904","-2.2135441854897904","-2.2135441854897904"
"57800","6067","6067","6067","-120.87378607127268","-120.87378607127268","-120.87378607127268","6067","6067","6067","-123.32366154806837","-123.32366154806837","-123.32366154806837","6067","6067","6067","-129.80927368688256","-129.80927368688256","-129.80927368688256","6067","6067","6067","-121.49036092393533","-121.49036092393533","-121.49036092393533","6067","6067","6067","-121.99561668500172","-121.99561668500172","-121.99561668500172"
"58000","6088","6088","6088","-261.63340076875886","-261.63340076875886","-261.63340076875886","6088","6088","6088","-123.79628181449826","-123.79628181449826","-123.79628181449826","6088","6088","6088","-124.50701188629124","-124.50701188629124","-124.50701188629124","6088","6088","6088","-126.00515167941514","-126.00515167941514","-126.00515167941514","6088","6088","6088","-236.17996914265848","-236.17996914265848","-236.17996914265848"
"58200","6109","6109","6109","-117.8108041628109","-117.8108041628109","-117.8108041628109","6109","6109","6109","-5.387434485977901","-5.387434485977901","-5.387434485977901","6109","6109","6109","-342.28922761517674","-342.28922761517674","-342.28922761517674","6109","6109","6109","-125.3760621397481","-125.3760621397481","-125.3760621397481","6109","6109","6109","-119.49561507460564","-119.49561507460564","-119.49561507460564"
"58400","6130","6130","6130","-124.94102694266039","-124.94102694266039","-124.94102694266039","6130","6130","6130","-123.30822496857382","-123.30822496857382","-123.30822496857382","6130","6130","6130","-121.25553102010531","-121.25553102010531","-121.25553102010531","6130","6130","6130","-122.32362090927984","-122.32362090927984","-122.32362090927984","6130","6130","6130","-242.69329362459277","-242.69329362459277","-242.69329362459277"
"58600","6151","6151","6151","-3.2580071511143758","-3.2580071511143758","-3.2580071511143758","6151","6151","6151","-128.5819502827977","-128.5819502827977","-128.5819502827977","6151","6151","6151","-233.18659017864047","-233.18659017864047","-233.18659017864047","6151","6151","6151","-331.14938363034054","-331.14938363034054","-331.14938363034054","6151","6151","6151","-117.59569236394341","-117.59569236394341","-117.59569236394341"
"58800","6172","6172","6172","-125.49054019340922","-125.49054019340922","-125.49054019340922","6172","6172","6172","-242.4287285143229","-242.4287285143229","-242.4287285143229","6172","6172","6172","-5.939704524108018","-5.939704524108018","-5.939704524108018","6172","6172","6172","-125.02223768817444","-125.02223768817444","-125.02223768817444","6172","6172","6172","-1.6681948570383458","-1.6681948570383458","-1.6681948570383458"
"59000","6193","6193","6193","-3.278210069644114","-3.278210069644114","-3.278210069644114","6193","6193","6193","-5.274693633202134","-5.274693633202134","-5.274693633202134","6193","6193","6193","-124.59046886512245","-124.59046886512245","-124.59046886512245","6193","6193","6193","-310.8522933106203","-310.8522933106203","-310.8522933106203","6193","6193","6193","-237.80269907165234","-237.80269907165234","-237.80269907165234"
"59200","6214","6214","6214","-319.30236316841444","-319.30236316841444","-319.30236316841444","6214","6214","6214","-7.1056356906140765","-7.1056356906140765","-7.1056356906140765","6214","6214","6214","-7.288784268698115","-7.288784268698115","-7.288784268698115","6214","6214","6214","-119.53063814117496","-119.53063814117496","-119.53063814117496","6214","6214","6214","-120.35878224127262","-120.35878224127262","-120.35878224127262"
"59400","6235","6235","6235","-2.0944273581856057","-2.0944273581856057","-2.0944273581856057","6235","6235","6235","-6.847273722466849","-6.847273722466849","-6.847273722466849","6235","6235","6235","-119.81674897807211","-119.81674897807211","-119.81674897807211","6235","6235","6235","-232.01384982684334","-232.01384982684334","-232.01384982684334","6235","6235","6235","-128.26445049387183","-128.26445049387183","-128.26445049387183"
"59600","6256","6256","6256","-122.29045388743862","-122.29045388743862","-122.29045388743862","6256","6256","6256","-127.15836012332565","-127.15836012332565","-127.15836012332565","6256","6256","6256","-225.33487338759534","-225.33487338759534","-225.33487338759534","6256","6256","6256","-232.55109509079986","-232.55109509079986","-232.55109509079986","6256","6256","6256","-125.8035791108155","-125.8035791108155","-125.8035791108155"
"59800","6277","6277","6277","-120.36448812626294","-120.36448812626294","-120.36448812626294","6277","6277","6277","-4.561611065116469","-4.561611065116469","-4.561611065116469","6277","6277","6277","-125.296010594899","-125.296010594899","-125.296010594899","6277","6277","6277","-127.65901869125064","-127.65901869125064","-127.65901869125064","6277","6277","6277","-117.53975466343736","-117.53975466343736","-117.53975466343736"
"60000","6298","6298","6298","-2.1993856653137427","-2.1993856653137427","-2.1993856653137427","6298","6298","6298","-6.646367756499312","-6.646367756499312","-6.646367756499312","6298","6298","6298","-360.79242638119126","-360.79242638119126","-360.79242638119126","6298","6298","6298","-117.71704086007217","-117.71704086007217","-117.71704086007217","6298","6298","6298","-118.12577767148643","-118.12577767148643","-118.12577767148643"
"60200","6319","6319","6319","-9.74793227709021","-9.74793227709021","-9.74793227709021","6319","6319","6319","-239.39118120966435","-239.39118120966435","-239.39118120966435","6319","6319","6319","-121.69117405562267","-121.69117405562267","-121.69117405562267","6319","6319","6319","-120.44659626837505","-120.44659626837505","-120.44659626837505","6319","6319","6319","-124.96449524394198","-124.96449524394198","-124.96449524394198"
"60400","6340","6340","6340","-125.45654535731462","-125.45654535731462","-125.45654535731462","6340","6340","6340","-125.59908121193322","-125.59908121193322","-125.59908121193322","6340","6340","6340","-116.4921731677627","-116.4921731677627","-116.4921731677627","6340","6340","6340","-123.49301561836573","-123.49301561836573","-123.49301561836573","6340","6340","6340","-6.617833180663423","-6.617833180663423","-6.617833180663423"
"60600","6361","6361","6361","-351.49912993078743","-351.49912993078743","-351.49912993078743","6361","6361","6361","-123.62414138988171","-123.62414138988171","-123.62414138988171","6361","6361","6361","-119.63667752056753","-119.63667752056753","-119.63667752056753","6361","6361","6361","-121.33180176919076","-121.33180176919076","-121.33180176919076","6361","6361","6361","-245.7117775178881","-245.7117775178881","-245.7117775178881"
"60800","6382","6382","6382","-123.515372164092","-123.515372164092","-123.515372164092","6382","6382","6382","-132.4313951586963","-132.4313951586963","-132.4313951586963","6382","6382","6382","-241.9892888095201","-241.9892888095201","-241.9892888095201","6382","6382","6382","-233.83186503680557","-233.83186503680557","-233.83186503680557","6382","6382","6382","-225.18821538311212","-225.18821538311212","-225.18821538311212"
"61000","6403","6403","6403","-339.61379608532326","-339.61379608532326","-339.61379608532326","6403","6403","6403","-119.38327250032467","-119.38327250032467","-119.38327250032467","6403","6403","6403","-7.022584970657308","-7.022584970657308","-7.022584970657308","6403","6403","6403","-340.59222688486545","-340.59222688486545","-340.59222688486545","6403","6403","6403","-127.836105743442","-127.836105743442","-127.836105743442"
"61200","6424","6424","6424","-228.53585794757493","-228.53585794757493","-228.53585794757493","6424","6424","6424","-241.23616492975233","-241.23616492975233","-241.23616492975233","6424","6424","6424","-116.67347578343634","-116.67347578343634","-116.67347578343634","6424","6424","6424","-118.40425337588792","-118.40425337588792","-118.40425337588792","6424","6424","6424","-321.4529426009874","-321.4529426009874","-321.4529426009874"
"61400","6445","6445","6445","-120.29001177488988","-120.29001177488988","-120.29001177488988","6445","6445","6445","-236.38342688588895","-236.38342688588895","-236.38342688588895","6445","6445","6445","-235.93511455270448","-235.93511455270448","-235.93511455270448","6445","6445","6445","-241.2714581392537","-241.2714581392537","-241.2714581392537","6445","6445","6445","-126.37859618097184","-126.37859618097184","-126.37859618097184"
"61600","6466","6466","6466","-128.6257427446998","-128.6257427446998","-128.6257427446998","6466","6466","6466","-228.42140234707065","-228.42140234707065","-228.42140234707065","6466","6466","6466","-223.2704615927334","-223.2704615927334","-223.2704615927334","6466","6466","6466","-351.97642123042283","-351.97642123042283","-351.97642123042283","6466","6466","6466","-118.15497351191192","-118.15497351191192","-118.15497351191192"
"61800","6487","6487","6487","-387.77327738689013","-387.77327738689013","-387.77327738689013","6487","6487","6487","-5.000022458403171","-5.000022458403171","-5.000022458403171","6487","6487","6487","-118.15729602044611","-118.15729602044611","-118.15729602044611","6487","6487","6487","-122.18457945345214","-122.18457945345214","-122.18457945345214","6487","6487","6487","-5.341636050501832","-5.341636050501832","-5.341636050501832"
"62000","6508","6508","6508","-123.96749007184525","-123.96749007184525","-123.96749007184525","6508","6508","6508","-120.42256501033958","-120.42256501033958","-120.42256501033958","6508","6508","6508","-235.1332088119751","-235.1332088119751","-235.1332088119751","6508","6508","6508","-122.92515675662601","-122.92515675662601","-122.92515675662601","6508","6508","6508","-127.93176820231534","-127.93176820231534","-127.93176820231534"
"62200","6529","6529","6529","-343.3585527065678","-343.3585527065678","-343.3585527065678","6529","6529","6529","-123.16128403026077","-123.16128403026077","-123.16128403026077","6529","6529","6529","-117.79273663347564","-117.79273663347564","-117.79273663347564","6529","6529","6529","-117.65884620453649","-117.65884620453649","-117.65884620453649","6529","6529","6529","-116.7744847973115","-116.7744847973115","-116.7744847973115"
"62400","6550","6550","6550","-241.65726479245555","-241.65726479245555","-241.65726479245555","6550","6550","6550","-233.48612972783096","-233.48612972783096","-233.48612972783096","6550","6550","6550","-351.3260105439137","-351.3260105439137","-351.3260105439137","6550","6550","6550","-125.00984849570835","-125.00984849570835","-125.00984849570835","6550","6550","6550","-122.97037393834054","-122.97037393834054","-122.97037393834054"
"62600","6571","6571","6571","-128.17229243824912","-128.17229243824912","-128.17229243824912","6571","6571","6571","-124.26494348183643","-124.26494348183643","-124.26494348183643","6571","6571","6571","-2.209435884743067","-2.209435884743067","-2.209435884743067","6571","6571","6571","-121.97245425534162","-121.97245425534162","-121.97245425534162","6571","6571","6571","-121.22739156605567","-121.22739156605567","-121.22739156605567"
"62800","6592","6592","6592","-226.2278310132539","-226.2278310132539","-226.2278310132539","6592","6592","6592","-121.832430431666","-121.832430431666","-121.832430431666","6592","6592","6592","-122.04579549896175","-122.04579549896175","-122.04579549896175","6592","6592","6592","-367.5031968236688","-367.5031968236688","-367.5031968236688","6592","6592","6592","-119.55284067149168","-119.55284067149168","-119.55284067149168"
"63000","6613","6613","6613","-227.0383695611414","-227.0383695611414","-227.0383695611414","6613","6613","6613","-117.66308197330423","-117.66308197330423","-117.66308197330423","6613","6613","6613","-125.85599062411993","-125.85599062411993","-125.85599062411993","6613","6613","6613","-245.47695510217858","-245.47695510217858","-245.47695510217858","6613","6613","6613","-125.47607871185889","-125.47607871185889","-125.47607871185889"
"63200","6634","6634","6634","-122.03957026335807","-122.03957026335807","-122.03957026335807","6634","6634","6634","-241.89429405465083","-241.89429405465083","-241.89429405465083","6634","6634","6634","-245.92683983520214","-245.92683983520214","-245.92683983520214","6634","6634","6634","-245.03218389627438","-245.03218389627438","-245.03218389627438","6634","6634","6634","-247.84631820335332","-247.84631820335332","-247.84631820335332"
"63400","6655","6655","6655","-226.66991190605077","-226.66991190605077","-226.66991190605077","6655","6655","6655","-124.3283720171213","-124.3283720171213","-124.3283720171213","6655","6655","6655","-125.18265845224158","-125.18265845224158","-125.18265845224158","6655","6655","6655","-116.98083048355748","-116.98083048355748","-116.98083048355748","6655","6655","6655","-120.28367759215446","-120.28367759215446","-120.28367759215446"
"63600","6676","6676","6676","-124.40988352193756","-124.40988352193756","-124.40988352193756","6676","6676","6676","-123.72657999386142","-123.72657999386142","-123.72657999386142","6676","6676","6676","-120.97037026694466","-120.97037026694466","-120.97037026694466","6676","6676","6676","-3.0915836455315078","-3.0915836455315078","-3.0915836455315078","6676","6676","6676","-114.63226349513243","-114.63226349513243","-114.63226349513243"
"63800","6697","6697","6697","-1.8039066883951655","-1.8039066883951655","-1.8039066883951655","6697","6697","6697","-315.78556012452594","-315.78556012452594","-315.78556012452594","6697","6697","6697","-123.28664760033972","-123.28664760033972","-123.28664760033972","6697","6697","6697","-125.31957275176521","-125.31957275176521","-125.31957275176521","6697","6697","6697","-125.24175106554829","-125.24175106554829","-125.24175106554829"
"64000","6718","6718","6718","-241.18337387360066","-241.18337387360066","-241.18337387360066","6718","6718","6718","-240.37797576999185","-240.37797576999185","-240.37797576999185","6718","6718","6718","-118.98026179012578","-118.98026179012578","-118.98026179012578","6718","6718","6718","-126.05312910592853","-126.05312910592853","-126.05312910592853","6718","6718","6718","-121.78233142690972","-121.78233142690972","-121.78233142690972"
"64200","6739","6739","6739","-240.77714149636085","-240.77714149636085","-240.77714149636085","6739","6739","6739","-119.32222456063418","-119.32222456063418","-119.32222456063418","6739","6739","6739","-238.0391669461423","-238.0391669461423","-238.0391669461423","6739","6739","6739","-340.97196220723174","-340.97196220723174","-340.97196220723174","6739","6739","6739","-124.54498974690034","-124.54498974690034","-124.54498974690034"
"64400","6760","6760","6760","-126.17943288125271","-126.17943288125271","-126.17943288125271","6760","6760","6760","-231.26979719028873","-231.26979719028873","-231.26979719028873","6760","6760","6760","-123.04135470649601","-123.04135470649601","-123.04135470649601","6760","6760","6760","-121.36004325939304","-121.36004325939304","-121.36004325939304","6760","6760","6760","-124.61351705733081","-124.61351705733081","-124.61351705733081"
"64600","6781","6781","6781","-119.3397140018176","-119.3397140018176","-119.3397140018176","6781","6781","6781","-246.5484098909823","-246.5484098909823","-246.5484098909823","6781","6781","6781","-222.25547308831815","-222.25547308831815","-222.25547308831815","6781","6781","6781","-130.2682998136354","-130.2682998136354","-130.2682998136354","6781","6781","6781","-228.79467229073504","-228.79467229073504","-228.79467229073504"
"64800","6802","6802","6802","-232.95446531820738","-232.95446531820738","-232.95446531820738","6802","6802","6802","-125.2129160148107","-125.2129160148107","-125.2129160148107","6802","6802","6802","-126.65499733480222","-126.65499733480222","-126.65499733480222","6802","6802","6802","-124.45371345865348","-124.45371345865348","-124.45371345865348","6802","6802","6802","-246.01559142466968","-246.01559142466968","-246.01559142466968"
"65000","6823","6823","6823","-116.95631085225332","-116.95631085225332","-116.95631085225332","6823","6823","6823","-247.51698673520679","-247.51698673520679","-247.51698673520679","6823","6823","6823","-122.64486950083956","-122.64486950083956","-122.64486950083956","6823","6823","6823","-240.62302372793044","-240.62302372793044","-240.62302372793044","6823","6823","6823","-125.20301440699286","-125.20301440699286","-125.20301440699286"
"65200","6844","6844","6844","-249.34091031140417","-249.34091031140417","-249.34091031140417","6844","6844","6844","-123.86889503573971","-123.86889503573971","-123.86889503573971","6844","6844","6844","-124.54982132229001","-124.54982132229001","-124.54982132229001","6844","6844","6844","-117.50897359787912","-117.50897359787912","-117.50897359787912","6844","6844","6844","-1.7333717655322625","-1.7333717655322625","-1.7333717655322625"
"65400","6865","6865","6865","-115.40247780029911","-115.40247780029911","-115.40247780029911","6865","6865","6865","-122.5791458868189","-122.5791458868189","-122.5791458868189","6865","6865","6865","-125.33789532177586","-125.33789532177586","-125.33789532177586","6865","6865","6865","-124.82073632137451","-124.82073632137451","-124.82073632137451","6865","6865","6865","-123.58392117389795","-123.58392117389795","-123.58392117389795"
"65600","6886","6886","6886","-244.52399808978825","-244.52399808978825","-244.52399808978825","6886","6886","6886","-6.10621456569909","-6.10621456569909","-6.10621456569909","6886","6886","6886","-235.29646290090145","-235.29646290090145","-235.29646290090145","6886","6886","6886","-123.3880590415884","-123.3880590415884","-123.3880590415884","6886","6886","6886","-5.582013631979374","-5.582013631979374","-5.582013631979374"
"65800","6907","6907","6907","-234.15711163987942","-234.15711163987942","-234.15711163987942","6907","6907","6907","-6.774496322487727","-6.774496322487727","-6.774496322487727","6907","6907","6907","-124.75030481291758","-124.75030481291758","-124.75030481291758","6907","6907","6907","-122.42643849303586","-122.42643849303586","-122.42643849303586","6907","6907","6907","-116.61607485269639","-116.61607485269639","-116.61607485269639"
"66000","6928","6928","6928","-123.05835328621424","-123.05835328621424","-123.05835328621424","6928","6928","6928","-241.986271600518","-241.986271600518","-241.986271600518","6928","6928","6928","-3.1587836924450095","-3.1587836924450095","-3.1587836924450095","6928","6928","6928","-119.30205889747751","-119.30205889747751","-119.30205889747751","6928","6928","6928","-2.1711581798997535","-2.1711581798997535","-2.1711581798997535"
