"sac_train/steps","wobbly-sun-24 - _step","wobbly-sun-24 - _step__MIN","wobbly-sun-24 - _step__MAX","wobbly-sun-24 - sac_train/episode_return","wobbly-sun-24 - sac_train/episode_return__MIN","wobbly-sun-24 - sac_train/episode_return__MAX","unique-planet-23 - _step","unique-planet-23 - _step__MIN","unique-planet-23 - _step__MAX","unique-planet-23 - sac_train/episode_return","unique-planet-23 - sac_train/episode_return__MIN","unique-planet-23 - sac_train/episode_return__MAX","eternal-morning-22 - _step","eternal-morning-22 - _step__MIN","eternal-morning-22 - _step__MAX","eternal-morning-22 - sac_train/episode_return","eternal-morning-22 - sac_train/episode_return__MIN","eternal-morning-22 - sac_train/episode_return__MAX","likely-glitter-21 - _step","likely-glitter-21 - _step__MIN","likely-glitter-21 - _step__MAX","likely-glitter-21 - sac_train/episode_return","likely-glitter-21 - sac_train/episode_return__MIN","likely-glitter-21 - sac_train/episode_return__MAX","silvery-aardvark-20 - _step","silvery-aardvark-20 - _step__MIN","silvery-aardvark-20 - _step__MAX","silvery-aardvark-20 - sac_train/episode_return","silvery-aardvark-20 - sac_train/episode_return__MIN","silvery-aardvark-20 - sac_train/episode_return__MAX"
"50000","5248","5248","5248","-125.32071785048943","-125.32071785048943","-125.32071785048943","5248","5248","5248","-118.12015817309002","-118.12015817309002","-118.12015817309002","5248","5248","5248","-117.42872275385898","-117.42872275385898","-117.42872275385898","5248","5248","5248","-125.77411247660177","-125.77411247660177","-125.77411247660177","5248","5248","5248","-326.56899762007987","-326.56899762007987","-326.56899762007987"
"50200","5269","5269","5269","-114.6878146284072","-114.6878146284072","-114.6878146284072","5269","5269","5269","-119.46872626649119","-119.46872626649119","-119.46872626649119","5269","5269","5269","-125.31145918935242","-125.31145918935242","-125.31145918935242","5269","5269","5269","-0.9203527363657124","-0.9203527363657124","-0.9203527363657124","5269","5269","5269","-231.16436868974546","-231.16436868974546","-231.16436868974546"
"50400","5290","5290","5290","-235.04400176013465","-235.04400176013465","-235.04400176013465","5290","5290","5290","-118.89181704864211","-118.89181704864211","-118.89181704864211","5290","5290","5290","-122.16198647223194","-122.16198647223194","-122.16198647223194","5290","5290","5290","-0.7106957182736402","-0.7106957182736402","-0.7106957182736402","5290","5290","5290","-116.72753469902894","-116.72753469902894","-116.72753469902894"
"50600","5311","5311","5311","-228.09379918016026","-228.09379918016026","-228.09379918016026","5311","5311","5311","-114.10522179984454","-114.10522179984454","-114.10522179984454","5311","5311","5311","-1.6659080940221591","-1.6659080940221591","-1.6659080940221591","5311","5311","5311","-115.42369542384195","-115.42369542384195","-115.42369542384195","5311","5311","5311","-126.66986022785693","-126.66986022785693","-126.66986022785693"
"50800","5332","5332","5332","-220.28687484742218","-220.28687484742218","-220.28687484742218","5332","5332","5332","-375.8136619182939","-375.8136619182939","-375.8136619182939","5332","5332","5332","-119.34735768653317","-119.34735768653317","-119.34735768653317","5332","5332","5332","-234.57642000748277","-234.57642000748277","-234.57642000748277","5332","5332","5332","-223.3276479603148","-223.3276479603148","-223.3276479603148"
"51000","5353","5353","5353","-227.89530692685418","-227.89530692685418","-227.89530692685418","5353","5353","5353","-118.72604777512355","-118.72604777512355","-118.72604777512355","5353","5353","5353","-127.55704212917952","-127.55704212917952","-127.55704212917952","5353","5353","5353","-121.28573790205726","-121.28573790205726","-121.28573790205726","5353","5353","5353","-119.4253178979174","-119.4253178979174","-119.4253178979174"
"51200","5374","5374","5374","-235.4475069939535","-235.4475069939535","-235.4475069939535","5374","5374","5374","-231.8266177846262","-231.8266177846262","-231.8266177846262","5374","5374","5374","-234.7598001510693","-234.7598001510693","-234.7598001510693","5374","5374","5374","-314.175433830738","-314.175433830738","-314.175433830738","5374","5374","5374","-220.57974266602895","-220.57974266602895","-220.57974266602895"
"51400","5395","5395","5395","-4.863230723686239","-4.863230723686239","-4.863230723686239","5395","5395","5395","-125.65134648572258","-125.65134648572258","-125.65134648572258","5395","5395","5395","-120.82040576886868","-120.82040576886868","-120.82040576886868","5395","5395","5395","-248.2011569682097","-248.2011569682097","-248.2011569682097","5395","5395","5395","-118.0619615998112","-118.0619615998112","-118.0619615998112"
"51600","5416","5416","5416","-308.5314927250056","-308.5314927250056","-308.5314927250056","5416","5416","5416","-220.94241318016302","-220.94241318016302","-220.94241318016302","5416","5416","5416","-121.53214287978781","-121.53214287978781","-121.53214287978781","5416","5416","5416","-245.50639827785872","-245.50639827785872","-245.50639827785872","5416","5416","5416","-127.45039766641659","-127.45039766641659","-127.45039766641659"
"51800","5437","5437","5437","-116.6965282994648","-116.6965282994648","-116.6965282994648","5437","5437","5437","-126.61477102529186","-126.61477102529186","-126.61477102529186","5437","5437","5437","-330.10539999651445","-330.10539999651445","-330.10539999651445","5437","5437","5437","-117.84592258681084","-117.84592258681084","-117.84592258681084","5437","5437","5437","-124.85099084905488","-124.85099084905488","-124.85099084905488"
"52000","5458","5458","5458","-333.83249474740063","-333.83249474740063","-333.83249474740063","5458","5458","5458","-230.78495340637969","-230.78495340637969","-230.78495340637969","5458","5458","5458","-251.97220327758708","-251.97220327758708","-251.97220327758708","5458","5458","5458","-230.29396920595596","-230.29396920595596","-230.29396920595596","5458","5458","5458","-127.80750947972496","-127.80750947972496","-127.80750947972496"
"52200","5479","5479","5479","-230.51500346758547","-230.51500346758547","-230.51500346758547","5479","5479","5479","-113.79061848791683","-113.79061848791683","-113.79061848791683","5479","5479","5479","-119.74760219768181","-119.74760219768181","-119.74760219768181","5479","5479","5479","-114.67824130775428","-114.67824130775428","-114.67824130775428","5479","5479","5479","-127.01126897221049","-127.01126897221049","-127.01126897221049"
"52400","5500","5500","5500","-116.60426139982273","-116.60426139982273","-116.60426139982273","5500","5500","5500","-231.92861477919018","-231.92861477919018","-231.92861477919018","5500","5500","5500","-355.29013160704585","-355.29013160704585","-355.29013160704585","5500","5500","5500","-1.0305304058953533","-1.0305304058953533","-1.0305304058953533","5500","5500","5500","-116.72716908264644","-116.72716908264644","-116.72716908264644"
"52600","5521","5521","5521","-250.4688411897025","-250.4688411897025","-250.4688411897025","5521","5521","5521","-117.52823089750859","-117.52823089750859","-117.52823089750859","5521","5521","5521","-236.8273496113044","-236.8273496113044","-236.8273496113044","5521","5521","5521","-361.2275131600021","-361.2275131600021","-361.2275131600021","5521","5521","5521","-125.51790905886597","-125.51790905886597","-125.51790905886597"
"52800","5542","5542","5542","-228.67052214814032","-228.67052214814032","-228.67052214814032","5542","5542","5542","-237.65840844645174","-237.65840844645174","-237.65840844645174","5542","5542","5542","-125.70292901034567","-125.70292901034567","-125.70292901034567","5542","5542","5542","-126.77917573247379","-126.77917573247379","-126.77917573247379","5542","5542","5542","-124.56199191027714","-124.56199191027714","-124.56199191027714"
"53000","5563","5563","5563","-239.61138203874867","-239.61138203874867","-239.61138203874867","5563","5563","5563","-126.23795402842639","-126.23795402842639","-126.23795402842639","5563","5563","5563","-220.78791032011804","-220.78791032011804","-220.78791032011804","5563","5563","5563","-362.6021011274038","-362.6021011274038","-362.6021011274038","5563","5563","5563","-0.7066923557730682","-0.7066923557730682","-0.7066923557730682"
"53200","5584","5584","5584","-221.39364041058786","-221.39364041058786","-221.39364041058786","5584","5584","5584","-123.58359870239448","-123.58359870239448","-123.58359870239448","5584","5584","5584","-117.57336958054536","-117.57336958054536","-117.57336958054536","5584","5584","5584","-119.10560758072752","-119.10560758072752","-119.10560758072752","5584","5584","5584","-120.51703041594317","-120.51703041594317","-120.51703041594317"
"53400","5605","5605","5605","-223.49522952832524","-223.49522952832524","-223.49522952832524","5605","5605","5605","-122.564396264042","-122.564396264042","-122.564396264042","5605","5605","5605","-126.98497361943633","-126.98497361943633","-126.98497361943633","5605","5605","5605","-123.63805482241673","-123.63805482241673","-123.63805482241673","5605","5605","5605","-2.908901120699245","-2.908901120699245","-2.908901120699245"
"53600","5626","5626","5626","-126.35532902474077","-126.35532902474077","-126.35532902474077","5626","5626","5626","-223.5827755716361","-223.5827755716361","-223.5827755716361","5626","5626","5626","-115.70633689036659","-115.70633689036659","-115.70633689036659","5626","5626","5626","-234.01159872775136","-234.01159872775136","-234.01159872775136","5626","5626","5626","-120.54620208690001","-120.54620208690001","-120.54620208690001"
"53800","5647","5647","5647","-127.73721297260961","-127.73721297260961","-127.73721297260961","5647","5647","5647","-119.73866767377585","-119.73866767377585","-119.73866767377585","5647","5647","5647","-114.51168770426108","-114.51168770426108","-114.51168770426108","5647","5647","5647","-223.0014009987612","-223.0014009987612","-223.0014009987612","5647","5647","5647","-122.33550037506906","-122.33550037506906","-122.33550037506906"
"54000","5668","5668","5668","-234.52083433581393","-234.52083433581393","-234.52083433581393","5668","5668","5668","-118.33670073783286","-118.33670073783286","-118.33670073783286","5668","5668","5668","-120.0592277874311","-120.0592277874311","-120.0592277874311","5668","5668","5668","-119.99291466309495","-119.99291466309495","-119.99291466309495","5668","5668","5668","-126.05647380597969","-126.05647380597969","-126.05647380597969"
"54200","5689","5689","5689","-114.47597010487159","-114.47597010487159","-114.47597010487159","5689","5689","5689","-115.07039268910017","-115.07039268910017","-115.07039268910017","5689","5689","5689","-2.5120774350797035","-2.5120774350797035","-2.5120774350797035","5689","5689","5689","-119.42895074484846","-119.42895074484846","-119.42895074484846","5689","5689","5689","-324.30002033010584","-324.30002033010584","-324.30002033010584"
"54400","5710","5710","5710","-227.92874163641258","-227.92874163641258","-227.92874163641258","5710","5710","5710","-119.31644456268009","-119.31644456268009","-119.31644456268009","5710","5710","5710","-115.74175160409642","-115.74175160409642","-115.74175160409642","5710","5710","5710","-115.34315038424741","-115.34315038424741","-115.34315038424741","5710","5710","5710","-228.01410304388594","-228.01410304388594","-228.01410304388594"
"54600","5731","5731","5731","-116.49279885925168","-116.49279885925168","-116.49279885925168","5731","5731","5731","-119.35007448854668","-119.35007448854668","-119.35007448854668","5731","5731","5731","-0.899860488198851","-0.899860488198851","-0.899860488198851","5731","5731","5731","-119.85510147530736","-119.85510147530736","-119.85510147530736","5731","5731","5731","-228.50006488010723","-228.50006488010723","-228.50006488010723"
"54800","5752","5752","5752","-118.9412474435057","-118.9412474435057","-118.9412474435057","5752","5752","5752","-352.93964047482933","-352.93964047482933","-352.93964047482933","5752","5752","5752","-117.07852674207581","-117.07852674207581","-117.07852674207581","5752","5752","5752","-125.1648000499005","-125.1648000499005","-125.1648000499005","5752","5752","5752","-3.743487155591978","-3.743487155591978","-3.743487155591978"
"55000","5773","5773","5773","-0.6409907133133473","-0.6409907133133473","-0.6409907133133473","5773","5773","5773","-3.570617048804076","-3.570617048804076","-3.570617048804076","5773","5773","5773","-119.6067825663874","-119.6067825663874","-119.6067825663874","5773","5773","5773","-224.5463178105911","-224.5463178105911","-224.5463178105911","5773","5773","5773","-0.7625193822687848","-0.7625193822687848","-0.7625193822687848"
"55200","5794","5794","5794","-220.14009032141766","-220.14009032141766","-220.14009032141766","5794","5794","5794","-121.29245619585984","-121.29245619585984","-121.29245619585984","5794","5794","5794","-125.29680214442072","-125.29680214442072","-125.29680214442072","5794","5794","5794","-228.2296096251287","-228.2296096251287","-228.2296096251287","5794","5794","5794","-125.78293739852269","-125.78293739852269","-125.78293739852269"
"55400","5815","5815","5815","-116.19847893612126","-116.19847893612126","-116.19847893612126","5815","5815","5815","-120.32898858503616","-120.32898858503616","-120.32898858503616","5815","5815","5815","-0.8251416891181625","-0.8251416891181625","-0.8251416891181625","5815","5815","5815","-338.97711931352694","-338.97711931352694","-338.97711931352694","5815","5815","5815","-121.807807413903","-121.807807413903","-121.807807413903"
"55600","5836","5836","5836","-329.24946310100313","-329.24946310100313","-329.24946310100313","5836","5836","5836","-225.32726247712057","-225.32726247712057","-225.32726247712057","5836","5836","5836","-312.5742467444025","-312.5742467444025","-312.5742467444025","5836","5836","5836","-122.21836356758479","-122.21836356758479","-122.21836356758479","5836","5836","5836","-1.410156560925118","-1.410156560925118","-1.410156560925118"
"55800","5857","5857","5857","-117.59311660551018","-117.59311660551018","-117.59311660551018","5857","5857","5857","-119.30418333462246","-119.30418333462246","-119.30418333462246","5857","5857","5857","-116.69677623327955","-116.69677623327955","-116.69677623327955","5857","5857","5857","-4.250585164451531","-4.250585164451531","-4.250585164451531","5857","5857","5857","-119.90272796924725","-119.90272796924725","-119.90272796924725"
"56000","5878","5878","5878","-119.0934177050834","-119.0934177050834","-119.0934177050834","5878","5878","5878","-221.24089444963636","-221.24089444963636","-221.24089444963636","5878","5878","5878","-116.80147458167839","-116.80147458167839","-116.80147458167839","5878","5878","5878","-216.7982512738112","-216.7982512738112","-216.7982512738112","5878","5878","5878","-121.70306420289454","-121.70306420289454","-121.70306420289454"
"56200","5899","5899","5899","-2.2601315242924422","-2.2601315242924422","-2.2601315242924422","5899","5899","5899","-121.094844325202","-121.094844325202","-121.094844325202","5899","5899","5899","-230.610203601861","-230.610203601861","-230.610203601861","5899","5899","5899","-123.12021562989945","-123.12021562989945","-123.12021562989945","5899","5899","5899","-224.49973259261026","-224.49973259261026","-224.49973259261026"
"56400","5920","5920","5920","-4.514365992034416","-4.514365992034416","-4.514365992034416","5920","5920","5920","-126.29525704421624","-126.29525704421624","-126.29525704421624","5920","5920","5920","-125.15960247296464","-125.15960247296464","-125.15960247296464","5920","5920","5920","-0.8122122797967203","-0.8122122797967203","-0.8122122797967203","5920","5920","5920","-117.55547014488742","-117.55547014488742","-117.55547014488742"
"56600","5941","5941","5941","-2.4242920296623653","-2.4242920296623653","-2.4242920296623653","5941","5941","5941","-221.86270211193846","-221.86270211193846","-221.86270211193846","5941","5941","5941","-131.08345968370102","-131.08345968370102","-131.08345968370102","5941","5941","5941","-235.15314401874977","-235.15314401874977","-235.15314401874977","5941","5941","5941","-121.76236256051195","-121.76236256051195","-121.76236256051195"
"56800","5962","5962","5962","-240.58440501441862","-240.58440501441862","-240.58440501441862","5962","5962","5962","-125.56502553499959","-125.56502553499959","-125.56502553499959","5962","5962","5962","-117.3252409247249","-117.3252409247249","-117.3252409247249","5962","5962","5962","-127.87869218043335","-127.87869218043335","-127.87869218043335","5962","5962","5962","-123.02704403334663","-123.02704403334663","-123.02704403334663"
"57000","5983","5983","5983","-124.08547537698092","-124.08547537698092","-124.08547537698092","5983","5983","5983","-229.5344501909402","-229.5344501909402","-229.5344501909402","5983","5983","5983","-118.13507955123661","-118.13507955123661","-118.13507955123661","5983","5983","5983","-121.63480982651022","-121.63480982651022","-121.63480982651022","5983","5983","5983","-233.9875298341155","-233.9875298341155","-233.9875298341155"
"57200","6004","6004","6004","-126.9595508389555","-126.9595508389555","-126.9595508389555","6004","6004","6004","-122.18905104344334","-122.18905104344334","-122.18905104344334","6004","6004","6004","-119.815952637755","-119.815952637755","-119.815952637755","6004","6004","6004","-123.42242582055749","-123.42242582055749","-123.42242582055749","6004","6004","6004","-118.96115754887224","-118.96115754887224","-118.96115754887224"
"57400","6025","6025","6025","-355.737623786068","-355.737623786068","-355.737623786068","6025","6025","6025","-232.49858149457438","-232.49858149457438","-232.49858149457438","6025","6025","6025","-121.53282861430738","-121.53282861430738","-121.53282861430738","6025","6025","6025","-126.56708061302193","-126.56708061302193","-126.56708061302193","6025","6025","6025","-124.93615401523968","-124.93615401523968","-124.93615401523968"
"57600","6046","6046","6046","-121.55917208226863","-121.55917208226863","-121.55917208226863","6046","6046","6046","-121.56221467746597","-121.56221467746597","-121.56221467746597","6046","6046","6046","-119.53565023286131","-119.53565023286131","-119.53565023286131","6046","6046","6046","-223.51404033672372","-223.51404033672372","-223.51404033672372","6046","6046","6046","-119.32078662657105","-119.32078662657105","-119.32078662657105"
"57800","6067","6067","6067","-125.64386037628412","-125.64386037628412","-125.64386037628412","6067","6067","6067","-232.71882910685719","-232.71882910685719","-232.71882910685719","6067","6067","6067","-224.15515041022076","-224.15515041022076","-224.15515041022076","6067","6067","6067","-126.30295242569827","-126.30295242569827","-126.30295242569827","6067","6067","6067","-120.37221234940355","-120.37221234940355","-120.37221234940355"
"58000","6088","6088","6088","-118.02270147159904","-118.02270147159904","-118.02270147159904","6088","6088","6088","-121.6587633578953","-121.6587633578953","-121.6587633578953","6088","6088","6088","-1.053524705495033","-1.053524705495033","-1.053524705495033","6088","6088","6088","-122.57737574141136","-122.57737574141136","-122.57737574141136","6088","6088","6088","-124.8475509922353","-124.8475509922353","-124.8475509922353"
"58200","6109","6109","6109","-122.83818563420998","-122.83818563420998","-122.83818563420998","6109","6109","6109","-221.54818929459452","-221.54818929459452","-221.54818929459452","6109","6109","6109","-119.89787875723721","-119.89787875723721","-119.89787875723721","6109","6109","6109","-116.38170259610476","-116.38170259610476","-116.38170259610476","6109","6109","6109","-1.794804264144582","-1.794804264144582","-1.794804264144582"
"58400","6130","6130","6130","-0.5043149135719368","-0.5043149135719368","-0.5043149135719368","6130","6130","6130","-124.88939064671386","-124.88939064671386","-124.88939064671386","6130","6130","6130","-118.06940629446377","-118.06940629446377","-118.06940629446377","6130","6130","6130","-120.14613951516215","-120.14613951516215","-120.14613951516215","6130","6130","6130","-119.67659332219786","-119.67659332219786","-119.67659332219786"
"58600","6151","6151","6151","-125.77205820864229","-125.77205820864229","-125.77205820864229","6151","6151","6151","-119.38612285486562","-119.38612285486562","-119.38612285486562","6151","6151","6151","-120.53878432078899","-120.53878432078899","-120.53878432078899","6151","6151","6151","-226.94363471776316","-226.94363471776316","-226.94363471776316","6151","6151","6151","-251.77377721697408","-251.77377721697408","-251.77377721697408"
"58800","6172","6172","6172","-124.08923275918885","-124.08923275918885","-124.08923275918885","6172","6172","6172","-119.34207616847858","-119.34207616847858","-119.34207616847858","6172","6172","6172","-251.860273672968","-251.860273672968","-251.860273672968","6172","6172","6172","-116.81905430122161","-116.81905430122161","-116.81905430122161","6172","6172","6172","-223.54563896599257","-223.54563896599257","-223.54563896599257"
"59000","6193","6193","6193","-116.58290203047149","-116.58290203047149","-116.58290203047149","6193","6193","6193","-230.9646294034289","-230.9646294034289","-230.9646294034289","6193","6193","6193","-329.8907590791828","-329.8907590791828","-329.8907590791828","6193","6193","6193","-119.0342985361343","-119.0342985361343","-119.0342985361343","6193","6193","6193","-129.15772467727055","-129.15772467727055","-129.15772467727055"
"59200","6214","6214","6214","-220.89325413628424","-220.89325413628424","-220.89325413628424","6214","6214","6214","-115.28172970874766","-115.28172970874766","-115.28172970874766","6214","6214","6214","-124.05997221828301","-124.05997221828301","-124.05997221828301","6214","6214","6214","-233.3820819337593","-233.3820819337593","-233.3820819337593","6214","6214","6214","-126.39483046719647","-126.39483046719647","-126.39483046719647"
"59400","6235","6235","6235","-118.47839172050413","-118.47839172050413","-118.47839172050413","6235","6235","6235","-119.15487201592774","-119.15487201592774","-119.15487201592774","6235","6235","6235","-232.15275911344568","-232.15275911344568","-232.15275911344568","6235","6235","6235","-237.88686074018833","-237.88686074018833","-237.88686074018833","6235","6235","6235","-3.7068023866996143","-3.7068023866996143","-3.7068023866996143"
"59600","6256","6256","6256","-238.41234632649014","-238.41234632649014","-238.41234632649014","6256","6256","6256","-231.32716312784964","-231.32716312784964","-231.32716312784964","6256","6256","6256","-241.81110140894904","-241.81110140894904","-241.81110140894904","6256","6256","6256","-119.69716997741516","-119.69716997741516","-119.69716997741516","6256","6256","6256","-223.27439660515094","-223.27439660515094","-223.27439660515094"
"59800","6277","6277","6277","-126.83567628757736","-126.83567628757736","-126.83567628757736","6277","6277","6277","-121.30626525542887","-121.30626525542887","-121.30626525542887","6277","6277","6277","-120.88574243291728","-120.88574243291728","-120.88574243291728","6277","6277","6277","-234.9452008076811","-234.9452008076811","-234.9452008076811","6277","6277","6277","-124.34638653020212","-124.34638653020212","-124.34638653020212"
"60000","6298","6298","6298","-1.1296528957349437","-1.1296528957349437","-1.1296528957349437","6298","6298","6298","-118.10587892360302","-118.10587892360302","-118.10587892360302","6298","6298","6298","-236.0247269118289","-236.0247269118289","-236.0247269118289","6298","6298","6298","-243.7369451899239","-243.7369451899239","-243.7369451899239","6298","6298","6298","-116.52646295382371","-116.52646295382371","-116.52646295382371"
"60200","6319","6319","6319","-233.3910067290961","-233.3910067290961","-233.3910067290961","6319","6319","6319","-224.65522483832046","-224.65522483832046","-224.65522483832046","6319","6319","6319","-124.72622117622814","-124.72622117622814","-124.72622117622814","6319","6319","6319","-118.70278642321408","-118.70278642321408","-118.70278642321408","6319","6319","6319","-117.50498759354949","-117.50498759354949","-117.50498759354949"
"60400","6340","6340","6340","-119.8027446466668","-119.8027446466668","-119.8027446466668","6340","6340","6340","-1.936913355838573","-1.936913355838573","-1.936913355838573","6340","6340","6340","-2.5972643269727542","-2.5972643269727542","-2.5972643269727542","6340","6340","6340","-0.8098665066018637","-0.8098665066018637","-0.8098665066018637","6340","6340","6340","-122.68777964923194","-122.68777964923194","-122.68777964923194"
"60600","6361","6361","6361","-118.09100855351095","-118.09100855351095","-118.09100855351095","6361","6361","6361","-2.140594535158722","-2.140594535158722","-2.140594535158722","6361","6361","6361","-122.6037446002293","-122.6037446002293","-122.6037446002293","6361","6361","6361","-117.32091514355483","-117.32091514355483","-117.32091514355483","6361","6361","6361","-227.08616552605005","-227.08616552605005","-227.08616552605005"
"60800","6382","6382","6382","-1.0968689642669585","-1.0968689642669585","-1.0968689642669585","6382","6382","6382","-2.815167704193976","-2.815167704193976","-2.815167704193976","6382","6382","6382","-1.3213121674231185","-1.3213121674231185","-1.3213121674231185","6382","6382","6382","-117.33936516785302","-117.33936516785302","-117.33936516785302","6382","6382","6382","-124.85695897649339","-124.85695897649339","-124.85695897649339"
"61000","6403","6403","6403","-124.43674574599424","-124.43674574599424","-124.43674574599424","6403","6403","6403","-124.33415776526097","-124.33415776526097","-124.33415776526097","6403","6403","6403","-115.18452695698097","-115.18452695698097","-115.18452695698097","6403","6403","6403","-120.24971396509939","-120.24971396509939","-120.24971396509939","6403","6403","6403","-125.45463653384698","-125.45463653384698","-125.45463653384698"
"61200","6424","6424","6424","-121.63556324688672","-121.63556324688672","-121.63556324688672","6424","6424","6424","-123.82491432302547","-123.82491432302547","-123.82491432302547","6424","6424","6424","-117.50476515179024","-117.50476515179024","-117.50476515179024","6424","6424","6424","-113.9534375956493","-113.9534375956493","-113.9534375956493","6424","6424","6424","-123.21349021050148","-123.21349021050148","-123.21349021050148"
"61400","6445","6445","6445","-228.27213259641942","-228.27213259641942","-228.27213259641942","6445","6445","6445","-124.42836983218781","-124.42836983218781","-124.42836983218781","6445","6445","6445","-238.3466304762001","-238.3466304762001","-238.3466304762001","6445","6445","6445","-235.41256468206308","-235.41256468206308","-235.41256468206308","6445","6445","6445","-126.92292958901344","-126.92292958901344","-126.92292958901344"
"61600","6466","6466","6466","-123.51953710467888","-123.51953710467888","-123.51953710467888","6466","6466","6466","-1.3486962395059583","-1.3486962395059583","-1.3486962395059583","6466","6466","6466","-120.26957076115767","-120.26957076115767","-120.26957076115767","6466","6466","6466","-123.52071278608","-123.52071278608","-123.52071278608","6466","6466","6466","-119.99119627797553","-119.99119627797553","-119.99119627797553"
"61800","6487","6487","6487","-114.25534877931881","-114.25534877931881","-114.25534877931881","6487","6487","6487","-126.7846455548651","-126.7846455548651","-126.7846455548651","6487","6487","6487","-117.30356851004467","-117.30356851004467","-117.30356851004467","6487","6487","6487","-118.10153521176409","-118.10153521176409","-118.10153521176409","6487","6487","6487","-302.2526092858619","-302.2526092858619","-302.2526092858619"
"62000","6508","6508","6508","-127.06492475666286","-127.06492475666286","-127.06492475666286","6508","6508","6508","-1.7856445487367778","-1.7856445487367778","-1.7856445487367778","6508","6508","6508","-117.22541888701988","-117.22541888701988","-117.22541888701988","6508","6508","6508","-224.45819782016696","-224.45819782016696","-224.45819782016696","6508","6508","6508","-234.1012276147669","-234.1012276147669","-234.1012276147669"
"62200","6529","6529","6529","-124.29649978526554","-124.29649978526554","-124.29649978526554","6529","6529","6529","-232.94726408161895","-232.94726408161895","-232.94726408161895","6529","6529","6529","-223.98190513496647","-223.98190513496647","-223.98190513496647","6529","6529","6529","-231.0828367235768","-231.0828367235768","-231.0828367235768","6529","6529","6529","-229.06253170567553","-229.06253170567553","-229.06253170567553"
"62400","6550","6550","6550","-295.51217341353055","-295.51217341353055","-295.51217341353055","6550","6550","6550","-5.881442436552414","-5.881442436552414","-5.881442436552414","6550","6550","6550","-227.89451783380756","-227.89451783380756","-227.89451783380756","6550","6550","6550","-118.95155953394757","-118.95155953394757","-118.95155953394757","6550","6550","6550","-119.56368854212747","-119.56368854212747","-119.56368854212747"
"62600","6571","6571","6571","-115.64866223451583","-115.64866223451583","-115.64866223451583","6571","6571","6571","-231.27093258044744","-231.27093258044744","-231.27093258044744","6571","6571","6571","-228.7641385800687","-228.7641385800687","-228.7641385800687","6571","6571","6571","-120.258070442845","-120.258070442845","-120.258070442845","6571","6571","6571","-120.6535729325534","-120.6535729325534","-120.6535729325534"
"62800","6592","6592","6592","-1.0513177030700707","-1.0513177030700707","-1.0513177030700707","6592","6592","6592","-122.79112873136994","-122.79112873136994","-122.79112873136994","6592","6592","6592","-119.65348963888339","-119.65348963888339","-119.65348963888339","6592","6592","6592","-113.76262399318092","-113.76262399318092","-113.76262399318092","6592","6592","6592","-229.97370973081053","-229.97370973081053","-229.97370973081053"
"63000","6613","6613","6613","-119.16216956050916","-119.16216956050916","-119.16216956050916","6613","6613","6613","-231.69058292423375","-231.69058292423375","-231.69058292423375","6613","6613","6613","-1.5043684349946458","-1.5043684349946458","-1.5043684349946458","6613","6613","6613","-118.98383588584021","-118.98383588584021","-118.98383588584021","6613","6613","6613","-221.56363786958826","-221.56363786958826","-221.56363786958826"
"63200","6634","6634","6634","-226.43082539715508","-226.43082539715508","-226.43082539715508","6634","6634","6634","-230.8455045688147","-230.8455045688147","-230.8455045688147","6634","6634","6634","-308.239208123081","-308.239208123081","-308.239208123081","6634","6634","6634","-125.9461121164585","-125.9461121164585","-125.9461121164585","6634","6634","6634","-119.94648063978285","-119.94648063978285","-119.94648063978285"
"63400","6655","6655","6655","-228.15036682874043","-228.15036682874043","-228.15036682874043","6655","6655","6655","-115.4995342715133","-115.4995342715133","-115.4995342715133","6655","6655","6655","-122.75170416682914","-122.75170416682914","-122.75170416682914","6655","6655","6655","-114.70450161788021","-114.70450161788021","-114.70450161788021","6655","6655","6655","-319.9967006646358","-319.9967006646358","-319.9967006646358"
"63600","6676","6676","6676","-118.98169922791652","-118.98169922791652","-118.98169922791652","6676","6676","6676","-120.04907953792068","-120.04907953792068","-120.04907953792068","6676","6676","6676","-119.60645116165287","-119.60645116165287","-119.60645116165287","6676","6676","6676","-115.83355964385734","-115.83355964385734","-115.83355964385734","6676","6676","6676","-2.9424851429893106","-2.9424851429893106","-2.9424851429893106"
"63800","6697","6697","6697","-124.26087630910257","-124.26087630910257","-124.26087630910257","6697","6697","6697","-3.1784050389384317","-3.1784050389384317","-3.1784050389384317","6697","6697","6697","-121.2607437421731","-121.2607437421731","-121.2607437421731","6697","6697","6697","-128.01399825321167","-128.01399825321167","-128.01399825321167","6697","6697","6697","-126.04493934578197","-126.04493934578197","-126.04493934578197"
"64000","6718","6718","6718","-233.31188650442556","-233.31188650442556","-233.31188650442556","6718","6718","6718","-121.26493584165856","-121.26493584165856","-121.26493584165856","6718","6718","6718","-116.77041213511822","-116.77041213511822","-116.77041213511822","6718","6718","6718","-122.79302121056273","-122.79302121056273","-122.79302121056273","6718","6718","6718","-116.71831412762177","-116.71831412762177","-116.71831412762177"
"64200","6739","6739","6739","-114.33664305033665","-114.33664305033665","-114.33664305033665","6739","6739","6739","-235.5827376757273","-235.5827376757273","-235.5827376757273","6739","6739","6739","-119.64502693836243","-119.64502693836243","-119.64502693836243","6739","6739","6739","-246.45735114801326","-246.45735114801326","-246.45735114801326","6739","6739","6739","-222.6859783303762","-222.6859783303762","-222.6859783303762"
